Formatted Date,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Visibility (km),Pressure (millibars),Summary_Breezy,Summary_Breezy and Dry,Summary_Breezy and Foggy,Summary_Breezy and Mostly Cloudy,Summary_Breezy and Overcast,Summary_Breezy and Partly Cloudy,Summary_Clear,Summary_Dangerously Windy and Partly Cloudy,Summary_Drizzle,Summary_Dry,Summary_Dry and Mostly Cloudy,Summary_Dry and Partly Cloudy,Summary_Foggy,Summary_Humid and Mostly Cloudy,Summary_Humid and Overcast,Summary_Humid and Partly Cloudy,Summary_Light Rain,Summary_Mostly Cloudy,Summary_Overcast,Summary_Partly Cloudy,Summary_Rain,Summary_Windy,Summary_Windy and Dry,Summary_Windy and Foggy,Summary_Windy and Mostly Cloudy,Summary_Windy and Overcast,Summary_Windy and Partly Cloudy,Wx,Wy,Day sin,Day cos,Year sin,Year cos
2015-09-30 21:00:00.000 +0200,0,12.061111111111112,12.061111111111112,0.61,16.1,1030.28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,16.711596683965364,2.946705386101208,-0.9659258262907989,0.2588190450960624,-0.9998360273633279,-0.018108516955261937
2015-09-30 22:00:00.000 +0200,0,11.016666666666666,11.016666666666666,0.63,16.1,1030.48,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,15.946019959164392,5.803876620150604,-0.8660254037904206,0.4999999999896387,-0.9998487503817114,-0.017391847519180166
2015-09-30 23:00:00.000 +0200,0,9.67222222222222,7.783333333333331,0.7,15.1823,1030.52,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,12.300062046256393,4.23525100770226,-0.7071067811884497,0.7071067811846454,-0.9998609597008478,-0.01667516914756792
2015-10-01 00:00:00.000 +0200,0,8.894444444444442,6.327777777777778,0.74,16.1,1030.56,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,15.827269044535008,6.075519359026339,-0.5000000000069004,0.8660254037804546,-0.999872655314464,-0.01595848220863803
2015-10-01 01:00:00.000 +0200,0,8.311111111111112,5.999999999999998,0.74,16.1,1030.28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,12.03281676780213,6.947150000000001,-0.25881904510125914,0.9659258262894065,-0.999883837216552,-0.015241787070550898
2015-10-01 02:00:00.000 +0200,0,6.844444444444445,5.78888888888889,0.8,15.1823,1030.42,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6.100420294253852,1.1858015826670756,-3.971732408311408e-12,0.9999999999999999,-0.999894505401365,-0.014525084101641638
2015-10-01 03:00:00.000 +0200,0,6.672222222222221,4.488888888888888,0.82,16.1,1030.36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,10.715246009078012,2.082832831731288,0.2588190450935864,0.9659258262914623,-0.999904659863423,-0.013808373670078887
2015-10-01 04:00:00.000 +0200,0,5.605555555555558,4.333333333333332,0.89,16.1,1030.26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6.326336321563037,0.11042661125062399,0.5000000000000211,0.8660254037844263,-0.9999143005975087,-0.013091656144091945
2015-10-01 05:00:00.000 +0200,0,6.177777777777776,4.005555555555556,0.89,15.1823,1030.04,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,10.17332193619202,2.162406331519188,0.7071067811828329,0.7071067811902623,-0.999923427598669,-0.012374931891913766
2015-10-01 06:00:00.000 +0200,0,6.022222222222224,3.711111111111111,0.86,16.1,1030.18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,10.749964470330662,1.8955087777766786,0.8660254037791729,0.5000000000091204,-0.9999320408622147,-0.011658201281780748
2015-10-01 07:00:00.000 +0200,0,6.022222222222224,3.438888888888888,0.86,16.1,1030.16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,11.649369419882905,4.240023716808316,0.9659258262887431,0.25881904510373516,-0.9999401403837203,-0.010941464681932566
2015-10-01 08:00:00.000 +0200,0,7.76111111111111,5.8500000000000005,0.84,15.1823,1030.24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,10.000302839665714,3.6398125672860995,0.9999999999999999,6.535076559905927e-12,-0.9999477261590245,-0.010224722460611967
2015-10-01 09:00:00.000 +0200,0,9.961111111111112,7.911111111111113,0.77,16.1,1030.57,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,12.49302052852839,7.8065056410514595,0.965925826292126,-0.2588190450911104,-0.9999547981842302,-0.00950797498606459
2015-10-01 10:00:00.000 +0200,0,12.68888888888889,12.68888888888889,0.69,16.1,1030.95,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,8.762536454354334,3.5402945323957593,0.8660254037857081,-0.4999999999978012,-0.9999613564557036,-0.008791222626538768
2015-10-01 11:00:00.000 +0200,0,14.894444444444446,14.894444444444446,0.59,15.552600000000002,1030.71,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,8.683629706046748,2.654852027564339,0.7071067811920748,-0.7071067811810203,-0.9999674009700754,-0.008074465750285347
2015-10-01 12:00:00.000 +0200,0,17.083333333333332,17.083333333333332,0.48,9.982,1030.46,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.4145635765916078,7.910344270697932,0.49999999999873784,-0.8660254037851672,-0.99997293172424,-0.007357704725557491
2015-10-01 13:00:00.000 +0200,0,17.755555555555556,17.755555555555556,0.43,9.982,1030.44,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,10.463467814709206,2.4156818872824632,0.2588190451062112,-0.9659258262880797,-0.999977948715356,-0.006640939920610501
2015-10-01 14:00:00.000 +0200,0,17.75,17.75,0.42,10.577700000000002,1029.93,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5.874634159881351,5.2895443563274105,9.098420711500445e-12,-1.0,-0.9999824519408455,-0.005924171703701616
2015-10-01 15:00:00.000 +0200,0,18.744444444444444,18.744444444444444,0.38,10.2557,1029.55,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5.658056331020398,5.658056331020397,-0.25881904510269044,-0.965925826289023,-0.9999864413983951,-0.005207400443032984
2015-10-01 16:00:00.000 +0200,0,18.79444444444444,18.79444444444444,0.37,10.2557,1029.45,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,9.406360026342771,5.214030503825305,-0.4999999999955813,-0.8660254037869897,-0.9999899170859549,-0.004490626506978846
2015-10-01 17:00:00.000 +0200,0,17.68888888888889,17.68888888888889,0.4,10.577700000000002,1029.34,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,10.242591515978772,1.806045236642676,-0.7071067811792078,-0.7071067811938875,-0.999992879001739,-0.003773850263744293
